,name,pinyin
536,细河,xihe
537,阜新蒙古族自治县,fuxinmengguzuzizhixian
538,彰武,zhangwu
539,辽阳,liaoyang
540,白塔,baita
541,文圣,wensheng
542,宏伟,hongwei
543,弓长岭,gongchangling
544,太子河,taizihe
545,辽阳县,liaoyangxian
546,灯塔,dengta
547,盘锦,panjin
548,双台子,shuangtaizi
549,兴隆台,xinglongtai
550,大洼,dawa
551,盘山,panshan
552,铁岭,tieling
553,银州,yinzhou
555,铁岭县,tielingxian
556,西丰,xifeng
557,昌图,changtu
558,调兵山,diaobingshan
559,开原,kaiyuan
561,双塔,shuangta
562,龙城,longcheng
563,朝阳县,chaoyangxian
564,建平,jianping
565,喀喇沁左翼,kalaqinzuoyi
566,北票,beipiao
567,凌源,lingyuan
568,葫芦岛,huludao
569,连山,lianshan
570,龙港,longgang
571,南票,nanpiao
572,绥中,suizhong
573,建昌,jianchang
574,兴城,xingcheng
575,吉林,jilin
576,长春,changchun
577,南关,nanguan
580,二道,erdao
581,绿园,lvyuan
582,双阳,shuangyang
583,九台,jiutai
584,农安,nongan
585,榆树,yushu
586,德惠,dehui
587,公主岭,gongzhuling
588,吉林市,jilinshi
589,昌邑,changyi
590,龙潭,longtan
591,船营,chuanying
592,丰满,fengman
593,永吉,yongji
594,蛟河,jiaohe
595,桦甸,huadian
596,舒兰,shulan
597,磐石,panshi
598,四平,siping
601,梨树,lishu
602,伊通,yitong
603,双辽,shuangliao
604,辽源,liaoyuan
605,龙山,longshan
606,西安,xian
607,东丰,dongfeng
608,东辽,dongliao
609,通化,tonghua
610,东昌,dongchang
611,二道江,erdaojiang
612,通化县,tonghuaxian
613,辉南,huinan
614,柳河,liuhe
615,梅河口,meihekou
616,集安,jian
617,白山,baishan
618,浑江,hunjiang
619,江源,jiangyuan
620,抚松,fusong
621,靖宇,jingyu
622,长白,changbai
623,临江,linjiang
624,松原,songyuan
625,宁江,ningjiang
626,前郭尔罗斯,qianguoerluosi
627,长岭,changling
628,乾安,qianan
629,扶余,fuyu
630,白城,baicheng
631,洮北,taobei
632,镇赉,zhenlai
633,通榆,tongyu
634,洮南,taonan
635,大安,daan
636,延边,yanbian
637,延吉,yanji
638,图们,tumen
639,敦化,dunhua
640,珲春,hunchun
641,龙井,longjing
642,和龙,helong
643,汪清,wangqing
644,安图,antu
645,黑龙江,heilongjiang
646,哈尔滨,haerbin
647,道里,daoli
648,南岗,nangang
649,道外,daowai
650,平房,pingfang
651,松北,songbei
652,香坊,xiangfang
653,呼兰,hulan
654,阿城,acheng
655,双城,shuangcheng
656,依兰,yilan
657,方正,fangzheng
658,宾县,binxian
659,巴彦,bayan
660,木兰,mulan
661,通河,tonghe
662,延寿,yanshou
663,尚志,shangzhi
664,五常,wuchang
665,齐齐哈尔,qiqihaer
666,龙沙,longsha
667,建华,jianhua
668,铁锋,tiefeng
669,昂昂溪,angangxi
670,富拉尔基区,fulaerjiqu
671,碾子山,nianzishan
672,梅里斯,meilisi
673,龙江,longjiang
674,依安,yian
675,泰来,tailai
676,甘南,gannan
677,富裕,fuyu
678,克山,keshan
679,克东,kedong
680,拜泉,baiquan
681,讷河,nehe
682,鸡西,jixi
683,鸡冠,jiguan
684,恒山,hengshan
685,滴道,didao
687,城子河,chengzihe
688,麻山,mashan
689,鸡东,jidong
690,虎林,hulin
691,密山,mishan
692,鹤岗,hegang
693,向阳,xiangyang
694,工农,gongnong
695,鹤岗,nanshan
697,东山,dongshan
698,兴山,xingshan
699,萝北,luobei
700,绥滨,suibin
701,双鸭山,shuangyashan
702,尖山,jianshan
703,岭东,lingdong
704,四方台,sifangtai
705,宝山,baoshan
706,集贤,jixian
707,友谊,youyi
708,宝清,baoqing
709,饶河,raohe
710,大庆,daqing
711,萨尔图,saertu
712,龙凤,longfeng
713,让胡路,ranghulu
714,红岗,honggang
716,肇州,zhaozhou
717,肇源,zhaoyuan
718,林甸,lindian
719,杜尔伯特,duerbote
720,伊春,yichun
721,伊美,yimei
722,乌翠,wucui
723,友好,youhao
724,嘉荫,jiayin
725,汤旺,tangwang
726,丰林,fenglin
727,大箐山,daqingshan
728,南岔,nancha
729,金林,jinlin
730,铁力,tieli
731,佳木斯,jiamusi
733,前进,qianjin
734,东风,dongfeng
736,桦南,huanan
737,桦川,huachuan
738,汤原,tangyuan
739,同江,tongjiang
740,富锦,fujin
741,抚远,fuyuan
