,n,g
350,喀什地区,"75.992973,39.470627|12"
351,克拉玛依,"84.88118,45.594331|13"
352,克孜勒苏州,"76.137564,39.750346|11"
353,石河子,"86.041865,44.308259|13"
354,塔城地区,"82.974881,46.758684|12"
355,图木舒克,"79.198155,39.889223|13"
356,吐鲁番地区,"89.181595,42.96047|13"
357,五家渠,"87.565449,44.368899|13"
358,伊犁州,"81.297854,43.922248|11"
359,云南,"101.592952,24.864213|7"
360,昆明,"102.714601,25.049153|12"
361,保山,"99.177996,25.120489|13"
362,楚雄州,"101.529382,25.066356|13"
363,大理,"100.223675,25.5969|14"
364,德宏州,"98.589434,24.44124|14"
365,迪庆州,"99.713682,27.831029|14"
366,红河州,"103.384065,23.367718|11"
367,丽江,"100.229628,26.875351|13"
368,临沧,"100.092613,23.887806|14"
369,怒江州,"98.859932,25.860677|14"
370,普洱,"100.980058,22.788778|14"
371,曲靖,"103.782539,25.520758|12"
372,昭通,"103.725021,27.340633|13"
373,文山,"104.089112,23.401781|14"
374,西双版纳,"100.803038,22.009433|13"
375,玉溪,"102.545068,24.370447|13"
376,浙江,"119.957202,29.159494|8"
377,杭州,"120.219375,30.259244|12"
378,湖州,"120.137243,30.877925|12"
379,嘉兴,"120.760428,30.773992|13"
380,金华,"119.652576,29.102899|12"
381,丽水,"119.929576,28.4563|13"
382,宁波,"121.579006,29.885259|12"
383,衢州,"118.875842,28.95691|12"
384,绍兴,"120.592467,30.002365|13"
385,台州,"121.440613,28.668283|13"
386,温州,"120.690635,28.002838|12"
387,舟山,"122.169872,30.03601|13"
388,香港,"114.186124,22.293586|11"
389,澳门,"113.557519,22.204118|13"
390,台湾,"120.961454,23.80406|8"
